found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-22,LangChain,70,competitor_sdk;ai_agent;recent_hiring,"+40 langchain-ai/openevals imports the E2B SDK | +20 on the AI-agent seed list | +10 posted ""Director of Commercial Sales "" on 2026-09-19",https://github.com/langchain-ai/openevals/blob/16b546bea58e3a62dabb79d2459cd90cc8ab0259/python/openevals/code/e2b/pyright.py,https://jobs.ashbyhq.com/langchain/74e5f9f4-e44a-4594-ba26-abdf71bf287d https://jobs.ashbyhq.com/langchain/d81ac364-7b1c-48d2-a8b7-4bc7336c6be5,https://www.langchain.com,ashby board;github
2026-09-22,Anthropic,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Staff+ Software Engineer, Claude App Infrastructure"" mentions Firecracker, gVisor, sandbox | +20 on the AI-agent seed list | +10 posted ""Manager, Applied AI Architect"" on 2026-09-22",https://job-boards.greenhouse.io/anthropic/jobs/5065894008,https://job-boards.greenhouse.io/anthropic/jobs/5421031008 https://job-boards.greenhouse.io/anthropic/jobs/5430869008,,greenhouse board
2026-09-22,Baseten,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Engineering Manager, Runtime Fabric"" mentions Cloud Hypervisor, Firecracker, gVisor, microVM | +20 on the AI-agent seed list | +10 posted ""Social Media Manager"" on 2026-09-22",https://jobs.ashbyhq.com/baseten/aae72bd3-6f75-4238-9741-95fec11facb9,https://jobs.ashbyhq.com/baseten/fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde https://jobs.ashbyhq.com/baseten/6e133f8f-9cfe-4629-9f96-8001cdf3b4bf,,ashby board
2026-09-22,Browserbase,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Software Engineer (Core Infrastructure)"" mentions Firecracker | +20 on the AI-agent seed list | +10 posted ""Business Recruiter"" on 2026-09-18",https://jobs.ashbyhq.com/browserbase/bcbf0fb9-2405-497b-bbc9-e09d8f7a4963,https://jobs.ashbyhq.com/browserbase/0054846b-1592-4596-8e6f-8d9a162bf62d,,ashby board
2026-09-22,Celesto AI,60,competitor_sdk;ai_agent,+40 CelestoAI/agentor imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/CelestoAI/agentor/blob/56f4ab6901d6230d18e6f36b3bcf7e0065ab352f/src/agentor/runtime.py,https://github.com/CelestoAI,https://celesto.ai,github
2026-09-22,Cognition,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Software Engineer"" mentions agent infrastructure, code execution, sandbox | +20 on the AI-agent seed list | +10 posted ""Commercial Partner Manager"" on 2026-09-17",https://jobs.ashbyhq.com/cognition/e8086415-62bc-4cc0-96a4-84bb56182d35,https://jobs.ashbyhq.com/cognition/4841bda0-057a-4471-801f-70309c3c02d5 https://jobs.ashbyhq.com/cognition/b6928067-6e03-4934-befe-2940cf584a8d,,ashby board
2026-09-22,Cohere,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Engineering Manager"" mentions agent infrastructure | +20 on the AI-agent seed list | +10 posted ""IT Support Specialist"" on 2026-09-22",https://jobs.ashbyhq.com/cohere/335a6fe6-c857-4c5e-866a-4163496e1254,https://jobs.ashbyhq.com/cohere/7133d205-5421-4336-a8e2-6037b5f55073 https://jobs.ashbyhq.com/cohere/0a77830f-d3a9-4b17-8ce7-58765d5be7e4,,ashby board
2026-09-22,Decagon,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Senior Software Engineer, AI Platform"" mentions sandbox | +20 on the AI-agent seed list | +10 posted ""Senior Agent Product Manager"" on 2026-09-22",https://jobs.ashbyhq.com/decagon/491d67c4-b877-4ddc-895a-496eed6777ed,https://jobs.ashbyhq.com/decagon/67c794bd-e423-44b2-8b80-d7b759994cde https://jobs.ashbyhq.com/decagon/2e561f25-77bd-4199-b5c4-3618f1743a0d,,ashby board
2026-09-22,Dynamiq,60,competitor_sdk;ai_agent,+40 dynamiq-ai/dynamiq imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/dynamiq-ai/dynamiq/blob/9830c5bd6cacdf0146a48248224f19e82222d260/dynamiq/nodes/tools/e2b_sandbox.py,https://github.com/dynamiq-ai,https://getdynamiq.ai,github
2026-09-22,Harvey,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""Staff Software Engineer, AI Platform"" mentions agent infrastructure | +20 on the AI-agent seed list | +10 posted ""Community Lead, Customer Engagement"" on 2026-09-22",https://jobs.ashbyhq.com/harvey/01da8934-d3e3-4ebb-beb9-681b3c24fb9c,https://jobs.ashbyhq.com/harvey/e04146f6-f79a-4023-9523-fe691038b330 https://jobs.ashbyhq.com/harvey/2a2f8cae-e153-4e51-a9fe-7af903fbc5ef,,ashby board
